Date,Map Name,Match Result,Agent Name,kills,headshots,deaths,assists,damage,damageReceived,plants,defuses,firstBloods,kdRatio,placement,rank
2021-10-28T15:33:54.451-04:00,Split,victory,Reyna,12,3,11,3,2313,2278,1,2,1,1.090909091,7,Silver 2
2021-10-28T14:57:03.996-04:00,Fracture,victory,Omen,13,6,13,5,2338,2184,1,0,1,1,7,Silver 1
2021-10-28T14:05:44.963-04:00,Icebox,victory,Killjoy,12,7,14,5,2149,2783,2,2,2,0.857142857,8,Silver 1
2021-10-27T15:18:09.677-04:00,Icebox,victory,Killjoy,10,4,14,3,2220,2579,0,1,0,0.714285714,10,Silver 1
2021-10-27T14:35:02.528-04:00,Split,defeat,Cypher,13,10,20,1,2342,3656,4,0,2,0.65,9,Silver 1
2021-10-26T15:54:49.231-04:00,Ascent,victory,Breach,8,2,12,8,1724,2142,3,0,2,0.666666667,8,Silver 1
2021-10-26T15:12:53.776-04:00,Breeze,victory,Sova,9,8,17,4,2225,2750,4,0,1,0.529411765,9,Silver 1
2021-10-25T16:47:32.968-04:00,Bind,defeat,Jett,17,7,19,2,3246,3769,0,0,2,0.894736842,5,Silver 1
2021-10-25T16:10:25.318-04:00,Bind,victory,Sova,12,7,16,4,2318,2678,0,0,1,0.75,6,Silver 1
2021-10-25T15:23:48.85-04:00,Ascent,defeat,Killjoy,5,3,18,2,1723,3573,2,0,0,0.277777778,9,Silver 1
2021-10-25T14:49:26.397-04:00,Ascent,victory,Cypher,14,7,14,3,2222,2395,0,2,0,1,9,Silver 1
2021-10-24T15:48:06.12-04:00,Split,victory,Skye,12,3,11,8,1790,2114,6,2,0,1.090909091,9,Silver 1
2021-10-24T15:17:07.935-04:00,Bind,defeat,Cypher,7,2,14,2,1060,2882,0,0,0,0.5,8,Silver 1
2021-10-24T14:27:39.852-04:00,Ascent,defeat,Omen,13,9,16,5,3060,3170,7,0,1,0.8125,9,Silver 1
2021-10-23T19:37:28.011-04:00,Fracture,victory,Omen,17,7,21,2,2960,3621,0,0,1,0.80952381,6,Silver 1
2021-10-23T18:46:56.426-04:00,Bind,defeat,Phoenix,14,6,22,6,3197,5168,1,0,0,0.636363636,7,Silver 1
2021-10-23T17:38:21.906-04:00,Ascent,victory,Sage,10,3,18,10,1881,3275,1,0,1,0.555555556,9,Silver 1
2021-10-23T16:56:10.629-04:00,Icebox,victory,Killjoy,13,5,20,8,2963,3197,0,0,2,0.65,9,Silver 1
2021-10-22T17:32:28.263-04:00,Breeze,defeat,Phoenix,6,1,17,1,1079,3200,0,0,0,0.352941176,10,Silver 1
2021-10-22T16:53:15.369-04:00,Haven,victory,Omen,13,5,12,4,1967,2231,0,0,1,1.083333333,8,Silver 1
2021-10-22T16:14:56.335-04:00,Haven,victory,Omen,13,6,13,2,2420,2478,1,1,1,1,5,Silver 1
2021-10-22T15:41:45.997-04:00,Haven,defeat,Breach,9,4,16,2,1814,3233,0,0,1,0.5625,9,Silver 1
2021-10-21T16:21:02.165-04:00,Split,victory,Sage,13,5,14,9,2355,2885,9,0,1,0.928571429,8,Silver 1
2021-10-21T15:27:55.643-04:00,Split,victory,Phoenix,18,8,19,5,3344,3503,0,0,2,0.947368421,6,Silver 1
2021-10-20T16:34:44.864-04:00,Icebox,defeat,Killjoy,13,7,17,4,2981,3199,2,0,0,0.764705882,4,Silver 1
2021-10-20T15:58:27.085-04:00,Haven,victory,Omen,14,4,16,4,2664,2962,0,0,2,0.875,6,Bronze 3
2021-10-20T15:30:17.733-04:00,Icebox,victory,Jett,5,3,9,3,1373,1838,1,0,0,0.555555556,8,Bronze 3
2021-10-19T16:42:38.439-04:00,Haven,defeat,Reyna,14,4,22,4,3041,4323,1,0,2,0.636363636,7,Bronze 3
2021-10-18T17:23:02.302-04:00,Breeze,victory,Sage,13,5,14,6,2462,2815,8,1,2,0.928571429,7,Bronze 3
2021-10-18T16:03:12.587-04:00,Ascent,defeat,Reyna,14,8,21,5,3165,4097,0,1,1,0.666666667,10,Bronze 3
2021-10-17T12:56:16.462-04:00,Haven,victory,Phoenix,10,5,15,4,2074,2812,1,0,2,0.666666667,8,Bronze 3
2021-10-17T12:22:06.95-04:00,Split,defeat,Reyna,10,6,18,3,2168,3324,0,0,5,0.555555556,6,Bronze 3
2021-10-16T09:29:58.503-04:00,Split,defeat,Reyna,25,11,20,2,4856,4479,1,1,4,1.25,4,Bronze 3
2021-10-15T18:35:54.274-04:00,Breeze,victory,Killjoy,13,5,14,1,2492,2905,7,0,1,0.928571429,8,Bronze 3
2021-10-15T17:41:35.247-04:00,Bind,defeat,Sage,13,5,22,9,2500,4048,3,0,0,0.590909091,9,Bronze 3
2021-10-15T16:34:14.277-04:00,Haven,defeat,Omen,5,3,15,4,1262,2532,0,0,0,0.333333333,10,Bronze 3
2021-10-15T15:54:34.714-04:00,Fracture,victory,Omen,15,7,16,8,2688,3164,0,0,2,0.9375,6,Bronze 3
2021-10-14T17:24:24.812-04:00,Fracture,victory,Reyna,17,5,13,2,2642,2509,3,0,2,1.307692308,4,Bronze 3
2021-10-13T14:24:09.413-04:00,Ascent,defeat,Omen,16,8,20,11,3259,3673,5,0,1,0.8,5,Bronze 3
2021-10-12T14:52:32.208-04:00,Fracture,defeat,Omen,21,14,22,3,4236,4044,0,1,4,0.954545455,3,Bronze 3
2021-10-10T14:40:44.345-04:00,Fracture,defeat,Omen,6,2,19,4,1229,3543,1,1,1,0.315789474,10,Bronze 3
2021-10-10T14:00:10.613-04:00,Breeze,defeat,Omen,14,5,16,1,2287,3142,1,1,2,0.875,5,Bronze 3
2021-10-08T13:43:59.256-04:00,Icebox,defeat,Omen,7,6,25,6,2085,4411,1,0,4,0.28,9,Bronze 3
2021-10-06T19:29:09.964-04:00,Breeze,victory,Omen,9,4,17,2,1612,2622,1,0,2,0.529411765,8,Bronze 3
2021-10-04T16:14:01.029-04:00,Fracture,defeat,Cypher,19,11,21,3,4099,3692,1,0,2,0.904761905,2,Bronze 3
