,Date,hour,Map Name,Match Result,Agent Name,kills,headshots,deaths,assists,damage,damageReceived,plants,defuses,firstBloods,kdRatio,placement,rank
104,2021-09-14,15:02:11,Split,0,Reyna,12,8,28,3,2734,5107,0,0,3,0.428571429,10,Silver 1
105,2021-09-13,17:10:59,Ascent,0,Sage,15,11,21,8,3019,3884,7,0,4,0.714285714,7,Silver 1
106,2021-09-12,17:32:14,Ascent,0,Sage,19,10,20,4,3400,3814,1,2,2,0.95,8,Silver 1
107,2021-09-11,18:10:18,Breeze,1,Jett,5,3,17,4,1526,3335,0,0,1,0.294117647,10,Silver 1
108,2021-09-11,17:16:16,Ascent,1,Cypher,8,6,20,7,1990,3766,1,0,0,0.4,10,Silver 1
109,2021-09-10,13:45:15,Breeze,0,Sage,11,5,17,6,2149,3082,4,0,1,0.647058824,7,Unrated
110,2021-09-03,12:53:53,Bind,1,Cypher,10,6,3,3,1477,686,0,0,0,3.333333333,5,Silver 1
111,2021-09-03,12:24:34,Split,0,Reyna,5,4,15,1,1078,2477,0,0,1,0.333333333,9,Silver 1
112,2021-08-18,17:42:34,Haven,1,Sage,20,7,19,8,2716,3982,5,0,2,1.052631579,4,Silver 1
113,2021-08-17,18:32:35,Haven,0,Omen,15,10,19,5,2849,3596,1,0,2,0.789473684,5,Silver 1
114,2021-08-16,17:48:59,Bind,1,Reyna,12,7,15,7,2436,3021,0,1,1,0.8,6,Silver 1
115,2021-08-16,16:58:07,Breeze,1,Jett,12,6,17,2,2347,3070,0,1,1,0.705882353,8,Silver 1
116,2021-08-16,12:43:06,Ascent,1,Phoenix,17,9,24,8,3506,4681,2,1,2,0.708333333,7,Silver 1
117,2021-08-15,18:07:01,Split,0,Cypher,9,4,15,7,1748,2788,3,2,3,0.6,10,Silver 1
118,2021-08-15,17:13:14,Bind,1,Sage,16,7,13,6,2271,2192,4,0,1,1.230769231,4,Silver 1
119,2021-08-15,13:18:42,Bind,1,Sova,13,7,19,2,2320,3564,3,1,2,0.684210526,10,Silver 1
120,2021-08-15,12:33:57,Ascent,0,Sage,12,9,18,6,2533,3015,3,0,1,0.666666667,8,Silver 1
121,2021-08-13,09:19:00,Ascent,0,Sage,1,0,13,2,273,2490,1,0,0,0.076923077,10,Silver 1
122,2021-08-12,18:55:54,Icebox,0,Sage,6,6,11,3,1365,2236,2,0,1,0.545454545,7,Silver 1
123,2021-08-12,18:07:30,Bind,1,Cypher,9,5,17,6,1717,3055,2,1,0,0.529411765,10,Silver 1
124,2021-08-11,19:33:55,Split,1,Reyna,21,9,21,9,4272,3670,0,1,5,1.0,4,Silver 1
125,2021-08-09,21:15:09,Haven,0,Omen,12,7,15,2,2658,2376,2,1,0,0.8,5,Silver 1
126,2021-08-09,20:13:22,Ascent,1,Killjoy,18,10,21,8,4119,3793,4,0,5,0.857142857,6,Silver 1
127,2021-08-09,19:25:44,Bind,0,Cypher,14,7,17,2,2552,3297,1,0,1,0.823529412,7,Silver 1
128,2021-08-09,18:46:00,Bind,0,Phoenix,8,6,19,9,2313,3252,2,0,3,0.421052632,8,Silver 1
129,2021-08-09,17:53:28,Bind,1,Jett,19,9,22,4,3440,3694,1,2,3,0.863636364,3,Silver 1
130,2021-08-09,17:18:15,Bind,0,Cypher,4,2,12,3,1037,2014,0,0,1,0.333333333,10,Silver 1
131,2021-08-09,14:02:57,Ascent,1,Sage,10,4,11,4,1401,2231,5,1,0,0.909090909,10,Silver 1
132,2021-08-09,13:05:10,Split,1,Sage,13,7,19,4,2431,3842,2,0,1,0.684210526,8,Silver 1
133,2021-08-08,19:25:53,Bind,0,Cypher,13,3,16,2,1997,2901,1,0,1,0.8125,7,Silver 1
134,2021-08-08,18:49:00,Icebox,1,Killjoy,12,5,10,4,2420,1962,2,0,0,1.2,7,Silver 1
135,2021-08-08,14:20:43,Haven,1,Cypher,9,3,13,4,1263,2019,3,0,1,0.692307692,10,Silver 1
136,2021-08-07,17:09:12,Ascent,0,Reyna,10,4,14,1,1867,2372,0,0,1,0.714285714,8,Silver 1
137,2021-08-07,16:57:53,Ascent,1,Reyna,5,2,1,2,608,275,0,0,0,5.0,2,Silver 1
138,2021-08-06,17:14:20,Haven,0,Sage,13,7,17,3,2433,2702,2,0,0,0.764705882,6,Silver 1
139,2021-08-06,16:20:19,Haven,0,Cypher,14,3,23,5,2601,4019,0,0,3,0.608695652,8,Silver 1
140,2021-08-05,20:18:11,Ascent,0,Cypher,11,7,16,5,2117,2682,1,0,1,0.6875,8,Silver 1
